customer_id,trans_date,tran_amount,response
CS5295,11-Feb-13,35,1
CS4768,15-Mar-15,39,1
CS2122,26-Feb-13,52,0
CS1217,16-Nov-11,99,0
CS1850,20-Nov-13,78,0
CS5539,26-Mar-14,81,0
CS2724,6-Feb-12,93,0
CS5902,30-Jan-15,89,0
CS6040,8-Jan-13,76,0
CS3802,20-Aug-13,75,1
CS3494,2-Jul-13,94,0
CS3780,25-Mar-13,80,0
CS1171,3-Nov-12,59,0
CS2892,12-May-13,43,0
CS5552,29-Dec-14,78,0
CS6043,15-Jan-14,98,0
CS4147,8-Jul-13,81,0
CS4655,30-Dec-13,93,0
CS3904,20-Jul-14,103,0
CS4102,9-Jul-11,96,0
CS2086,5-Mar-13,75,0
CS6085,9-Jan-13,49,0
CS1328,6-Feb-13,54,0
CS4564,27-Mar-12,48,0
CS5910,1-Jan-12,98,0
CS2748,23-Mar-13,37,1
CS5147,29-Apr-13,72,0
CS1770,2-Nov-12,83,0
CS3510,24-Oct-11,81,0
CS2509,5-Dec-11,105,0
CS2859,27-Feb-15,77,0
CS1512,21-Feb-15,71,0
CS4148,22-Aug-13,48,0
CS1735,31-Mar-12,70,0
CS1588,27-Jan-12,70,0
CS5514,9-Jan-13,36,1
CS5933,7-Oct-13,48,0
CS2797,6-Mar-14,87,1
CS5313,2-Dec-12,88,0
CS5966,9-Mar-12,39,0
CS5211,18-May-14,51,0
CS1511,13-Jan-15,47,0
CS6087,24-Nov-14,37,0
CS5909,4-Feb-12,80,0
CS2845,8-Mar-13,105,0
CS1433,5-Nov-12,78,0
CS4897,12-Apr-14,45,1
CS2296,28-Dec-12,79,0
CS1494,29-Jun-13,59,0
CS3688,19-Jun-14,55,0
CS2287,23-Dec-11,94,0
CS3779,26-Jun-11,69,0
CS1423,5-Jun-14,78,0
CS2501,14-Nov-12,59,1
CS3434,22-Feb-13,98,0
CS2662,31-Aug-14,88,0
CS2209,12-Mar-12,35,0
CS4530,5-Jun-11,40,0
CS2848,4-Feb-13,53,0
CS2596,19-Sep-11,55,0
CS4421,20-May-12,86,0
CS4905,13-Apr-12,93,0
CS5704,4-Dec-11,79,0
CS2403,27-Jul-14,94,1
CS5480,28-Jan-12,63,1
CS5811,23-Aug-13,91,1
CS2051,9-Dec-14,101,0
CS3957,30-Aug-12,69,0
CS4704,25-Nov-14,41,0
CS2289,19-May-12,67,0
CS5218,21-Jun-14,45,0
CS4637,20-May-11,71,1
CS3158,6-May-12,91,0
CS4176,30-Jul-12,49,0
CS1939,25-Nov-11,101,0
CS5403,1-Dec-11,64,0
CS5489,2-Dec-14,77,0
CS4563,30-May-11,101,0
CS3508,23-May-12,67,0
CS2703,12-Oct-14,40,1
